Date,Production (tonnes),Electricity (kWh),Natural Gas (m³),Water (m³),CO2 Emissions (kg),NOx Emissions (kg),SOx Emissions (kg),Waste Generated (kg),Waste Recycled (kg),Employees on Site,Safety Incidents
2020-01-19,829,498229,104454,2122.4394731129296,802472,1242.2387221089305,528.5974851899919,80413,40621,161,0
2020-01-20,1193,1002120,155090,2388.4245696877215,1113069,1386.68664742054,591.6767107986014,153897,63229,154,0
2020-01-21,1071,803250,183141,1678.2727999178496,1105272,1217.791388932701,327.2329663975043,147798,47124,156,0
2020-01-22,800,558400,126400,1623.368627117188,829600,990.5746055591859,622.6864682680571,67200,24000,177,0
2020-01-23,942,647154,164850,1447.9534500932102,838380,529.7694642601695,302.9056127381906,97026,50868,174,0
2020-01-24,1102,894824,176320,2902.9029281734465,1075552,827.0340391214636,501.4599702498053,60610,95874,163,0
2020-01-25,843,507486,136566,2339.0204952024515,843843,507.26642273885386,515.7434640221385,81771,75027,187,0
2020-01-26,974,674008,171424,2230.6662817777196,944780,1096.6441770794029,681.253800960835,87660,57466,151,0
2020-01-27,824,583392,95584,1333.7908498172903,742424,879.9298044869249,617.3901542282496,100528,79104,187,0
2020-01-28,831,623250,121326,1707.8232813377763,810225,601.954170289694,284.82906323661746,62325,73128,155,0
2020-01-29,1119,1000386,123090,2436.5036395660604,1101096,814.2512662087693,394.21142113856695,144351,61545,156,0
2020-01-30,1086,958938,157470,2847.0219572566734,1067538,755.5073575286665,521.3213851809683,149868,69504,183,0
2020-01-31,923,593489,109837,1418.1525842319663,923000,1229.6283767951709,346.5418398382524,89531,81224,159,0
2020-02-01,1130,975190,123170,2961.658015156244,1186500,648.5551965623475,518.6072552788972,164980,107350,199,0
2020-02-02,1167,963942,145875,3310.05667160891,1115652,1610.0217447937082,638.6318663365448,98028,61851,191,0
2020-02-03,1093,918120,133346,2160.6362766282623,1119232,1466.3591555804915,703.3581902022195,162857,56836,176,0
2020-02-04,1153,872821,145278,2252.829563052192,1117257,773.4671290476015,733.9535970218993,134901,99158,166,0
2020-02-05,1153,1001957,224835,3315.6012120996197,1074596,1444.9504303301567,698.523744695462,114147,41508,200,0
2020-02-06,979,692153,108669,1909.436290377753,895785,569.297442312244,347.63204286751244,63635,67551,167,0
2020-02-07,1069,877649,206317,1988.1825915322088,1102139,1466.2686047438272,700.7441110023368,143246,51312,195,0
2020-02-08,913,767833,109560,2330.670137407428,814396,500.81624014778373,590.431587958284,53867,63910,171,0
2020-02-09,1161,900936,195048,1970.9351138036911,1035612,1279.2094980312756,827.9391775603466,159057,54567,163,0
2020-02-10,947,763282,166672,2755.19303121796,858929,694.5830691972552,306.0619035461315,141103,63449,164,0
2020-02-11,1027,630578,201292,2268.2273536450143,1040351,1129.995839809154,667.1217645453447,58539,62647,195,0
2020-02-12,1193,969909,167020,2958.3441108413263,1229983,933.8342545775538,417.264132759808,137195,38176,197,0
2020-02-13,1118,703222,179998,2684.9738698856213,1074398,1427.7761217699706,777.3200892567306,97266,42484,187,0
2020-02-14,846,695412,140436,2400.9024193196747,813852,888.7059996710468,471.857684323553,60912,83754,158,0
2020-02-15,810,692550,86670,1802.868054856727,848070,512.67930483337,246.6247137268112,82620,31590,188,0
2020-02-16,818,722294,109612,1759.7997519388643,777918,1003.0925646217592,519.735645222916,114520,71984,183,0
2020-02-17,860,728420,140180,1372.514768295155,766260,1145.1066041369336,333.88071281200934,99760,72240,181,0
2020-02-18,1157,851552,130741,2089.3868774094412,1200966,620.3343590182262,892.8541043817266,97188,108758,162,0
2020-02-19,937,599680,128369,2288.519944817818,889213,919.7457184046866,671.615249236827,121810,36543,184,0
2020-02-20,836,649572,134596,2413.2772832343608,781660,1089.5938082601253,364.37335510818986,112024,81928,186,0
2020-02-21,992,675552,164672,2565.6979827975297,994976,1481.3842625715833,730.6203345394202,81344,59520,183,0
2020-02-22,844,600928,87776,1290.59438277356,865100,972.7709556758417,408.31706285034693,53172,48952,197,0
2020-02-23,1065,721005,159750,2778.3106774647335,1117185,728.5351118495105,480.8811465435144,107565,96915,162,0
2020-02-24,887,653719,125954,2341.95501192765,918045,1155.6809014998946,503.78736718149776,125954,31045,195,0
2020-02-25,1020,918000,200940,3041.602144516439,890460,1103.9640782667227,617.2086906709363,129540,89760,173,0
2020-02-26,1051,860769,111406,2474.2788757727444,950104,807.9439029795471,669.0337380528925,62009,89335,197,0
2020-02-27,1123,998347,217862,2257.8062553840923,1073588,1493.5083460442056,653.8405520944593,159466,56150,163,1
2020-02-28,874,543628,137218,2594.742023146342,872252,696.2870743428047,611.514787458296,103132,67298,154,0
2020-02-29,1101,680418,120009,1728.80707980961,947961,947.5633685709671,543.6422277034192,114504,68262,168,0
2020-03-01,1128,1010688,150024,2509.3542948398276,1121232,1470.1178180398208,833.4314830084189,99264,85728,169,0
2020-03-02,1037,733159,130662,2306.59222470067,1083665,1060.094498038243,404.7956121540792,105774,32147,189,0
2020-03-03,929,811946,132847,2728.3571141621424,838887,794.0295507505914,525.271844645992,58527,33444,161,0
2020-03-04,1095,803730,125925,2182.3438806817926,1068720,1022.4833527282198,502.6849548317101,82125,73365,188,0
2020-03-05,1181,855044,217304,2069.4254361949897,1143208,1186.9344680891165,815.5473466260157,99204,77946,154,0
2020-03-06,903,597786,164346,2440.5368825592113,883134,953.3025606918335,376.3461779914873,72240,32508,150,0
2020-03-07,1055,915740,171965,2482.95088940592,933675,1347.6015482472926,781.4468616555791,158250,52750,178,0
2020-03-08,911,634967,98388,2574.4824824877237,779816,568.9997328703997,344.1775687073418,127540,71058,166,0
2020-03-09,814,684574,112332,2389.400590524532,757020,849.559081394429,531.0672020047441,52096,33374,193,0
2020-03-10,828,606096,129168,1347.9152916782741,809784,940.7766813313968,353.2875710901704,96048,80316,189,0
2020-03-11,844,708116,146012,2394.7207066242972,784920,1237.5443984718809,458.15374454637475,94528,57392,180,0
2020-03-12,852,539316,120984,1736.805115827555,846036,844.3237626374691,318.6481100802651,118428,55380,180,0
2020-03-13,807,538269,119436,1404.6100290055144,754545,871.8932780633987,343.98794974993723,75051,25824,187,0
2020-03-14,1194,856098,198204,2546.1754337063608,1136688,1251.4304685655825,848.0010431112112,164772,105072,177,0
2020-03-15,1028,729880,133640,2907.877220926312,895388,788.9511117189161,729.4203008405688,80184,85324,174,0
2020-03-16,976,725168,136640,1989.3102344569645,935008,1283.4975344968877,490.9483703488153,126880,93696,151,1
2020-03-17,1191,846801,172695,2480.1623743132654,1058799,909.6360111757967,656.0799451607747,71460,78606,154,0
2020-03-18,825,731775,132825,2058.2140701258068,834900,466.35940275373133,311.67704362662266,114675,39600,151,0
2020-03-19,1012,757988,170016,2120.9057060497103,947232,767.0257430839667,782.9641358671623,96140,82984,173,0
2020-03-20,913,811657,96778,1408.787377436035,813483,477.2115029085883,402.33097842256853,129646,85822,187,0
2020-03-21,830,536180,166000,1872.9460799579635,725420,1157.6127998986826,401.63493239015094,48140,51460,166,0
2020-03-22,1026,798228,139536,1562.1878291448186,965466,1186.8451514030633,715.3075240149162,85158,43092,168,0
2020-03-23,1055,908355,177240,2281.1460324813015,1105640,786.0850684497357,460.6911613565685,148755,73850,188,0
2020-03-24,829,657397,142588,2373.439403933976,753561,1021.1357298265111,461.75467367874467,71294,43937,164,0
2020-03-25,956,841280,188332,1942.2116804570476,816424,1019.7893849663142,638.0601682081127,98468,65008,183,0
2020-03-26,1169,751667,160153,2836.315573449476,1227450,1567.6536598795374,509.3443311041973,161322,61957,170,0
2020-03-27,1046,852490,158992,2191.0341934458156,925710,1539.2178576256497,636.9657793273138,104600,74266,176,0
2020-03-28,862,742182,150850,1554.9439565923628,895618,1234.7910206412487,268.53417899683956,116370,60340,174,0
2020-03-29,1087,828294,194573,3238.0565193380103,1029389,1336.484896723641,403.35646798517746,142397,54350,161,0
2020-03-30,875,763875,88375,1731.9283463870527,830375,930.3383148603784,519.6974411874539,131250,54250,155,0
2020-03-31,1153,787499,202928,2070.546115016672,1101115,1677.800584574895,570.5278432659306,88781,81863,172,0
2020-04-01,1080,967680,152280,2778.3951424929232,1124280,1190.1530582712157,648.8855521219492,153360,65880,167,0
2020-04-02,948,742284,111864,1517.3752190705184,953688,1366.2923332571725,343.3614843072744,132720,50244,153,0
2020-04-03,1143,742950,163449,2278.977812973799,974979,668.3716703372006,521.6575116936182,138303,54864,192,0
2020-04-04,1150,900450,228850,2984.97810326143,1131600,1120.97678311466,707.9302290209621,109250,82800,178,0
2020-04-05,1023,741675,109461,2705.8412423047876,1013793,982.2735702964665,523.4758721037667,74679,62403,161,0
2020-04-06,1180,861400,141600,3214.936931791665,1181180,1629.7582081497528,487.69045558524186,73160,46020,195,0
2020-04-07,1138,933160,166148,2626.1874552683253,1171002,680.9053171970961,818.8672885422503,102420,59176,171,0
2020-04-08,1049,796191,198261,2494.755706802771,1076274,1336.172570498603,528.5398639622931,82871,83920,153,0
2020-04-09,1157,717340,218673,3167.8825170204686,1035515,1142.9694894422096,793.9400936052227,78676,98345,159,0
2020-04-10,1032,798768,194016,2285.530029151117,1018584,1514.092647161381,776.3252536023697,77400,49536,169,0
2020-04-11,1104,858912,118128,2096.7485359797006,998016,1404.4293064858034,830.5599120146314,141312,60720,178,0
2020-04-12,870,535050,125280,2446.7252089453177,773430,623.8875533456804,641.2958370677327,111360,50460,171,0
2020-04-13,999,636363,185814,2567.821259281467,982017,1329.442251210989,432.11760022123786,125874,43956,176,0
2020-04-14,819,657657,134316,2135.4715204299023,738738,961.9452835259594,572.7707959123604,99099,81081,196,0
2020-04-15,958,861242,127414,2206.45107842769,853578,1127.2445623440558,315.29305344910983,126456,89094,173,0
2020-04-16,931,643321,149891,1713.2825590547088,835107,583.2898793180582,374.9628631174761,126616,79135,172,0
2020-04-17,842,637394,123774,1397.6451358960123,784744,745.9513159389596,347.89149089828487,80832,60624,169,0
2020-04-18,922,555044,173336,1800.8803198061344,905404,547.8370085059504,403.1643884879103,117094,54398,193,0
2020-04-19,937,585625,164912,2017.8138637439824,862040,613.8964681244347,539.4435630208801,72149,45913,158,0
2020-04-20,1184,983904,223776,3235.7201114020227,1066784,1130.716044598438,415.67994147649875,78144,53280,158,0
2020-04-21,955,668500,116510,2152.751153039126,953090,948.5006874205857,334.5183443405803,106960,73535,178,0
2020-04-22,1181,840872,167702,2067.0358444090775,1145570,1678.7855917922077,690.4077314109073,99204,98023,198,0
2020-04-23,817,658502,131537,1791.8432356646704,800660,647.4113795939201,613.538858223329,89870,77615,199,0
2020-04-24,1051,812423,136630,3026.2023371398063,907013,1097.2468276372592,710.2638676882017,81978,59907,160,0
2020-04-25,1171,1011744,179163,1907.5562260803829,1072636,619.3031876975822,366.70533350438717,98364,114758,172,0
2020-04-26,847,725032,88935,1388.4098126259748,774158,1117.8546927463808,615.0147820938539,99099,44891,171,0
2020-04-27,1183,824551,147875,2221.224215709389,1218490,900.6999322897925,493.425820631361,99372,87542,159,0
2020-04-28,1163,978083,177939,2069.0147602892375,1058330,1713.1141314240203,671.911042713425,110485,36053,158,0
2020-04-29,1104,960480,204240,2889.3965586534564,1020096,1187.1430865662874,640.6145707884128,64032,75072,183,0
2020-04-30,1179,746307,154449,2611.7515294623586,1116513,771.3695809574073,626.0941202460418,141480,89604,171,0
2020-05-01,924,600600,111804,2341.0076240276667,876876,533.2362059107488,543.449350034703,104412,70224,169,0
2020-05-02,1056,797280,117216,2408.3344996472406,929280,552.2961182554612,442.68217532090785,148896,79200,186,0
2020-05-03,813,580482,115446,2293.977428590562,768285,728.2539489168064,281.2347689331839,42276,29268,167,0
2020-05-04,944,652304,147264,2213.727681594244,983648,856.6193157856334,432.98612521471574,87792,63248,155,0
2020-05-05,1190,966280,172550,2423.8153037221446,1137640,1215.5041186791536,932.1181657350714,135660,38080,167,0
2020-05-06,918,794070,165240,1601.8012940901026,861084,795.9257092823561,389.8787094238851,95472,77112,153,0
2020-05-07,1054,900116,160208,1679.4923035731526,1075080,1010.9684713676885,572.1561430487654,86428,80104,183,0
2020-05-08,847,563255,146531,1867.990406863792,788557,1232.4040027265205,359.4298946711263,71148,29645,173,0
2020-05-09,1113,1000587,175854,2504.648716634072,1129695,944.9456709462571,815.2553660266133,141351,38955,196,0
2020-05-10,1078,713636,163856,2800.923398271122,1090936,889.2671502611014,504.8803296377146,76538,52822,179,0
2020-05-11,1167,876417,140040,2300.708806790516,1211346,1720.907808651577,461.85874167308407,164547,61851,169,0
2020-05-12,1199,733788,167860,2963.8300349477477,1124662,1338.583069469549,512.6050849499987,141482,110308,176,0
2020-05-13,1031,911404,159805,2076.378738834341,881505,1276.6122144722897,400.3420528374371,139185,47426,175,0
2020-05-14,1033,706572,135323,2141.5733083906566,957591,1054.7985026150718,782.9224168833304,73343,32023,167,0
2020-05-15,886,536916,153278,1402.732446557991,863850,1228.8519954203534,279.70032872033414,84170,43414,183,0
2020-05-16,1156,943296,178024,3149.1952279999814,1130568,659.3537244688212,690.157645604156,90168,113288,163,0
2020-05-17,914,794266,110594,2574.096547276986,906688,811.3102978088959,408.38125670270057,135272,58496,191,0
2020-05-18,1005,760785,181905,1707.5109775484245,986910,1384.7241035030736,524.4351847710196,68340,35175,170,0
2020-05-19,1122,931260,210936,3108.0845612982453,999702,1057.811226506821,886.1083829740769,113322,59466,192,0
2020-05-20,1175,739075,182125,3346.1023191572444,1116250,683.3068837270978,785.500235201072,151575,112800,200,0
2020-05-21,804,567624,141504,1284.2528396927332,715560,1018.5467219732449,307.8905650763341,94068,32964,197,0
2020-05-22,1171,832581,147546,1904.5067746448356,1125331,1373.575684392359,814.0382149987751,90167,77286,199,0
2020-05-23,1061,910338,168699,1890.9359112462669,989913,1485.3579606368835,841.8775226957508,89124,64721,186,0
2020-05-24,976,595360,181536,2054.6803030489978,901824,934.539491299256,458.1199916548408,96624,89792,174,0
2020-05-25,1022,776720,110376,1912.3821595178702,1054704,770.5363131872928,694.3425404264236,71540,58254,152,0
2020-05-26,1028,801840,143920,2932.2490758344043,1067064,859.3363707020279,312.06620974891285,125416,92520,192,0
2020-05-27,880,601920,166320,1806.0504298891458,792880,766.5029012143475,550.3735540126553,51920,35200,175,0
2020-05-28,878,680450,108872,2385.4322326520087,894682,502.4191139171563,448.92192574146725,107994,62338,153,0
2020-05-29,1184,815776,216672,3245.0962795061087,1181632,866.9676647228464,901.9657206512935,150368,80512,158,0
2020-05-30,804,712344,121404,1372.7837250070197,732444,1141.4596343989967,429.65986625820864,118992,53064,156,0
2020-05-31,835,613725,146125,1902.6434809572293,874245,878.8147836660632,372.1283918679623,50100,60955,160,0
2020-06-01,816,509184,151776,2439.5156589453795,793968,568.5307434388474,530.2285485017021,53040,44880,186,0
2020-06-02,865,521595,127155,2238.958677424391,768985,504.84244612197756,517.7046678347565,77850,58820,182,0
2020-06-03,984,690768,101352,1819.9433395011033,1032216,1194.2363518477139,385.9207226368401,72816,63960,185,0
2020-06-04,1177,905113,161249,2779.05956864135,1058123,772.3454707655795,414.0918190881383,98868,38841,198,0
2020-06-05,842,571718,126300,1723.5882673638694,851262,1262.4383262400809,366.5611562327667,95988,40416,194,0
2020-06-06,1003,842520,175525,2978.5356412364526,947835,1257.0590852469359,436.4762770616798,105315,87261,180,0
2020-06-07,1154,871270,204258,3346.397673450533,1201314,1299.2826227692854,684.6074254877161,135018,50776,177,0
2020-06-08,1009,883884,186665,1802.0868189438506,917181,1286.185461730903,447.75847194523163,79711,80720,170,0
2020-06-09,1059,784719,202269,2075.959227820397,1069590,1067.1503279159774,791.7652917312097,136611,33888,171,0
2020-06-10,863,741317,104423,1359.175590169898,757714,713.0450667332005,556.7880999878429,78533,81985,173,1
2020-06-11,1047,901467,139251,3088.4582890280444,1072128,1182.1360239261348,763.0564213550301,77478,91089,158,0
2020-06-12,875,570500,144375,2380.3409769221757,870625,988.766022232634,472.2773129106386,99750,36750,152,0
2020-06-13,1055,821845,127655,2630.882142098567,973765,588.9830244016481,471.4478285588888,102335,43255,183,0
2020-06-14,1084,869368,147424,2163.878385198131,1054732,1278.0634768352916,326.6072602700252,75880,56368,189,0
2020-06-15,924,769692,115500,2009.1249896280476,947100,1017.6687547044525,587.8328822090672,117348,66528,199,0
2020-06-16,1150,998200,142600,2028.1090199888038,1194850,1589.273435769487,865.5757881652241,151800,94300,192,0
2020-06-17,804,609432,139092,2235.457295597943,807216,1087.4507431045467,419.16548235720506,84420,65124,180,0
2020-06-18,1177,785059,151833,2498.325198597096,1068716,1452.0108693970958,749.5473973558314,151833,101222,163,0
2020-06-19,1190,719950,185640,2053.4865076801943,1169770,1581.356518163565,715.5255155047803,166600,90440,194,0
2020-06-20,809,644773,101934,1517.8622220448217,689268,482.99496967857834,336.462607311235,90608,46113,166,0
2020-06-21,1177,882750,163603,3076.697755395897,1234673,1008.8672446979522,554.7925794272428,105930,65912,166,0
2020-06-22,1177,742687,154187,2587.003897792167,1167584,1370.0153760913083,609.880714670918,67089,85921,196,0
2020-06-23,990,733590,128700,1772.212692395904,949410,829.5415619522043,596.3048595467856,49500,86130,186,0
2020-06-24,1003,826472,199597,2386.6932074913466,989961,828.7292608821059,684.0560923879293,120360,57171,173,0
2020-06-25,891,658449,147906,2640.355971963135,893673,494.3485414102253,631.1039759806504,119394,67716,192,0
2020-06-26,1002,826650,109218,2309.1456624299026,1018032,925.8635619116549,373.7827178664834,134268,75150,188,0
2020-06-27,838,699730,112292,1306.1715664241322,870682,1108.5305635030345,305.47373739398824,56146,27654,181,0
2020-06-28,855,629280,87210,1413.3943234530354,884925,1065.8822794896403,364.95054214704027,80370,65835,198,0
2020-06-29,1148,952840,138908,3387.015981044524,1120448,1135.385150130648,391.26242180951596,154980,68880,176,0
2020-06-30,1171,950852,151059,3409.4347723200126,1060926,889.2012411284749,356.7368295653575,144033,36301,181,0
2020-07-01,1176,787920,199920,2598.8821603208557,1010184,1233.2575178014351,420.8574933887835,81144,76440,159,0
2020-07-02,899,615815,158224,2583.85382159053,821686,784.4718186030169,483.54090983620813,96193,85405,171,1
2020-07-03,1099,767102,208810,2848.2905455431223,966021,1239.1970477271154,834.153331710341,145068,63742,199,0
2020-07-04,905,678750,114935,2180.605094657207,923100,903.0846493728643,403.18905348400784,83260,65160,192,0
2020-07-05,1073,848743,173826,2839.5939645430567,1008620,541.3351681195015,414.12307784015115,94424,106227,153,0
2020-07-06,1133,744381,189211,2630.9516486971597,1008370,1057.7679711659175,646.1248251989813,128029,66847,193,0
2020-07-07,1141,795277,180278,2989.4558060264753,1021195,722.2591882433967,569.1902430805188,99267,99267,189,0
2020-07-08,1117,686955,156380,2103.4297844364855,976258,926.5990071359412,521.2994963630771,78190,92711,183,0
2020-07-09,829,718743,122692,1389.7067823314353,715427,1205.9837707291379,438.60997924605965,92019,67149,172,0
2020-07-10,841,640001,105966,1496.9059620724886,867071,1061.751310466064,606.0745500199464,63916,54665,191,0
2020-07-11,922,751430,126314,2626.8657546460463,884198,670.3838914944829,349.3110163548541,97732,36880,162,0
2020-07-12,953,795755,161057,2190.058835491027,957765,1338.3717985005403,706.0386691974536,101971,60992,199,1
2020-07-13,1191,861093,179841,2161.986240075229,1191000,1039.452271770955,711.4224598496654,88134,75033,180,0
2020-07-14,951,648582,173082,2534.387942998833,970971,733.9060074113737,602.14505789657,98904,88443,158,0
2020-07-15,804,525012,83616,2315.260557095174,808020,472.616712201116,323.6415621207113,51456,49044,155,0
2020-07-16,1177,925122,218922,1837.5890418760966,1005158,1072.8460605640023,552.9604920946107,80036,51788,175,0
2020-07-17,1160,850280,205320,2012.9161117035787,1115920,708.688318637922,612.2934123271172,140360,114840,190,0
2020-07-18,898,795628,123924,2199.5756893658668,840528,723.458532604124,589.3258892918664,125720,57472,181,0
2020-07-19,976,860832,114192,1690.6808544130683,865712,547.9852797726189,360.373092598978,66368,85888,194,0
2020-07-20,1184,851296,164576,1976.6379307095451,1179264,1443.7229780109353,856.6413042906565,159840,113664,180,0
2020-07-21,856,669392,118128,1394.880224560165,755848,561.5962287381176,373.0996164792932,117272,35096,156,0
2020-07-22,1097,677946,196363,2960.6317827115463,1061896,684.5619883394836,842.0048055944316,68014,87760,151,0
2020-07-23,889,656971,123571,2099.8055668838533,784987,1311.421322566046,364.8575590523768,63119,56896,178,0
2020-07-24,931,826728,162925,2466.4356200474745,904932,1001.9960997369068,379.898789833874,116375,82859,194,0
2020-07-25,1078,765380,127204,3084.0329510786087,1006852,1339.9716331984894,339.3997528601716,122892,90552,177,0
2020-07-26,985,685560,191090,2495.6548129053353,909155,1170.9745509579886,699.7581299749952,87665,42355,158,0
2020-07-27,909,743562,95445,1694.496829246858,910818,662.6154058847545,555.694486413844,103626,90900,176,0
2020-07-28,910,574210,127400,2438.93872856089,926380,1347.4889838990362,321.8519325291652,136500,79170,200,0
2020-07-29,1155,1002540,203280,2283.8350060042267,1160775,613.7891991798663,719.8135495806783,77385,107415,160,0
2020-07-30,842,653392,148192,2494.3176524862147,842842,1063.1088137161332,288.5960511293895,106092,28628,157,0
2020-07-31,1116,736560,141732,3178.742827798945,1072476,1642.9614736309481,749.492450113307,66960,65844,192,0
2020-08-01,818,521066,105522,2254.9304287449995,720658,434.74152878192706,324.76888963097025,72802,65440,175,0
2020-08-02,1015,818090,194880,2421.62466020683,963235,1235.308503337417,414.7229447355962,89320,98455,198,0
2020-08-03,1138,737424,163872,2275.934219397498,980956,755.2782994961525,782.0141089431647,133146,64866,158,0
2020-08-04,1152,851328,132480,2578.325124154443,1204992,1661.8410464107485,528.2874620318323,65664,69120,173,1
2020-08-05,833,584766,154105,2483.8353091236504,788018,780.8236968218478,655.7107970406703,74137,43316,173,0
2020-08-06,954,767016,153594,2103.4893134428103,820440,920.7867855016395,695.0399192074962,124020,78228,155,0
2020-08-07,853,756611,105772,1520.2965771595866,800967,979.180177605903,383.04714436178676,115155,76770,197,0
2020-08-08,1157,1020474,152724,2137.9870356994466,986921,648.8926507443861,566.4677292965686,111072,47437,190,0
2020-08-09,1146,778134,124914,3121.729635913128,1016502,1649.020018820052,781.3232251405722,72198,50424,191,0
2020-08-10,964,742280,137852,2282.3788598506776,932188,500.46916715532257,723.0873052991566,54948,83868,155,0
2020-08-11,1005,671340,137685,2684.313993325499,1013040,1221.5705284319897,319.7746160740952,71355,59295,195,0
2020-08-12,997,619137,168493,1880.7314674364377,927210,967.2972243751309,487.43859456095436,120637,91724,181,0
2020-08-13,1047,719289,109935,1622.9776424505872,897279,1089.3587071748416,651.7551596074788,107841,103653,188,0
2020-08-14,1015,726740,192850,1690.678659256292,1025150,1234.4341061407385,524.1229059707971,144130,38570,166,0
2020-08-15,849,633354,98484,1480.0661182017504,826077,761.4709484231881,603.314401730931,69618,56034,195,0
2020-08-16,857,746447,147404,1856.2761485631852,897279,977.6347478071193,293.54850003222026,98555,29995,175,0
2020-08-17,944,614544,138768,1574.651291200612,977040,926.0560531940637,668.492095691166,80240,87792,198,0
2020-08-18,931,698250,147098,2563.5477161618,815556,1312.279082981154,501.6193160821433,73549,54929,163,0
2020-08-19,823,643586,139087,2352.6052239910214,827115,539.8506793547066,470.31661620782285,79831,57610,161,0
2020-08-20,1176,879648,150528,3170.137640954743,1170120,1297.7225892147528,754.2493271082667,156408,63504,167,0
2020-08-21,802,561400,111478,1360.6969145987614,720998,1034.157708708051,267.824373552017,67368,80200,153,0
2020-08-22,978,647436,141810,2458.555103038451,869442,951.2121325478705,668.6439592343075,104646,84108,156,0
2020-08-23,859,578107,127132,1660.515454892098,738740,1188.0227638962524,608.0958514690824,107375,66143,156,0
2020-08-24,1104,943920,126960,2163.4962356061014,1153680,675.9601053664652,437.05199234476714,139104,41952,181,0
2020-08-25,1012,845020,132572,3011.4693961619723,949256,593.8026241237815,357.748890234659,128524,50600,173,0
2020-08-26,1153,780581,179868,2515.841833177862,1131093,1229.8125601108334,386.6867910184846,109535,56497,152,0
2020-08-27,823,522605,146494,1250.9849920908093,787611,954.7121609917839,298.27725752674485,77362,36212,185,0
2020-08-28,867,645048,155193,1650.8315300586494,805443,673.956898685118,412.1822497221889,107508,57222,176,0
2020-08-29,1098,957456,153720,2208.211504943001,1141920,679.5949320576284,364.7506601328566,54900,104310,174,0
2020-08-30,1182,815580,211578,1944.9445142400655,1102806,1398.0480193964809,812.8803576518844,157206,36642,155,0
2020-08-31,960,739200,118080,2108.489566646899,816960,1003.6887793820573,758.0281886256342,89280,53760,159,0
2020-09-01,1157,831883,219830,3294.95630034058,1109563,1439.329926185242,444.14181236455363,153881,74048,190,0
2020-09-02,842,734224,100198,1637.2550900185688,721594,587.9234793556697,562.5958012914684,125458,45468,184,0
2020-09-03,861,740460,160146,2268.5199009532653,896301,1148.8166156234633,586.1303622103685,65436,80934,181,0
2020-09-04,1169,713090,196392,1788.7839826234008,995988,931.1647038824643,874.3845296152389,112224,60788,177,0
2020-09-05,879,748029,130971,1787.4339934158572,800769,689.0942220476103,353.1233225316233,104601,86142,153,0
2020-09-06,880,695200,120560,1797.1151450758648,799040,1017.613240002418,309.44509541315927,53680,63360,162,0
2020-09-07,865,692000,108990,2074.311352750882,837320,1231.252908992577,423.87109581013084,121965,80445,199,0
2020-09-08,1189,1068911,126034,2297.9434515711732,1122416,1392.2117033080297,556.4893923054996,121278,60639,198,0
2020-09-09,1113,808038,123543,3224.294082241877,1019508,942.4808784904159,660.7066865521144,103509,70119,178,0
2020-09-10,943,780804,132963,2521.979654846291,856244,950.5541786396956,313.37904712699935,91471,55637,172,0
2020-09-11,970,705190,153260,2130.5475241776976,989400,1419.0295618947964,460.8835567996104,144530,32980,158,0
2020-09-12,1083,849072,194940,2748.9913826758175,988779,1624.3077726444847,464.72025064416067,90972,108300,168,0
